Nama Produk,SKU / Kode Produk,Barcode,Kategori,Satuan Dasar,Merk / Brand,Lokasi / Rak,Hitung Stok (ya/tidak),Harga Modal / Beli,Harga Jual Eceran,Harga Jual Grosir,Harga Jual Promo,Diskon per Item (Rp),Stok di Rak / Display,Stok di Gudang,Stok Minimum,Stok Minimum Gudang,Satuan Beli dari Supplier,Isi per Satuan Beli,Satuan Jual Besar,Produk Master (ID),Qty Isi per Paket,Jenis Isi Paket,Satuan Isi Paket,HPP (AVCO),Total Aset,Harga Besar
SENTER LUBY 2673,MLUSEN09,MLUSEN09,Rumah tangga,PCS,LUBY,Area 04,tidak,94500,115000,0,0,0,0,0,5,,,1,,,,,,0,0,
SENTER LUBY 2675 B,MLUSEN08,MLUSEN08,Rumah tangga,PCS,LUBY,Area 04,tidak,79300,100000,0,0,0,0,0,5,,,1,,,,,,0,0,
SENTER LUBY 2871,MLUSEN01,MLUSEN01,Rumah tangga,PCS,LUBY,Area 04,tidak,35500,48000,0,0,0,0,0,5,,,1,,,,,,0,0,
SENTER LUBY 2879 PUTIH,MLUSEN03,MLUSEN03,Rumah tangga,PCS,LUBY,Area 04,tidak,94900,120000,0,0,0,0,0,5,,,1,,,,,,0,0,
SENTER LUBY 2880 KUNING,MLUSEN04,MLUSEN04,Rumah tangga,PCS,LUBY,Area 04,tidak,93900,115000,0,0,0,0,0,5,,,1,,,,,,0,0,
SENTER LUBY 2883 PUTIH,MLUSEN02,MLUSEN02,Rumah tangga,PCS,LUBY,Area 04,tidak,44900,60000,0,0,0,0,0,5,,,1,,,,,,0,0,
SENTER LUBY 2911 PUTIH,MLUSEN05,MLUSEN05,Rumah tangga,PCS,LUBY,Area 04,tidak,83700,105000,0,0,0,0,0,5,,,1,,,,,,0,0,
SENTER LUBY 770 C,MLUSEN10,MLUSEN10,Rumah tangga,PCS,LUBY,Area 04,tidak,109900,140000,0,0,0,0,0,5,,,1,,,,,,0,0,
SENTER LUBY 8908,MLUSEN07,MLUSEN07,Rumah tangga,PCS,LUBY,Area 04,tidak,25400,32000,0,0,0,0,0,5,,,1,,,,,,0,0,
SENTER LUBY 8916 A,MLUSEN06,MLUSEN06,Rumah tangga,PCS,LUBY,Area 04,tidak,34300,43000,0,0,0,0,0,5,,,1,,,,,,0,0,
SPOTLIGHT LUBY 5301 10W,MLUSPO02,MLUSPO02,Rumah tangga,PCS,LUBY,Area 04,tidak,123243,186000,0,0,0,0,0,5,,,1,,,,,,0,0,
SPOTLIGHT LUBY 5301 5W,MLUSPO01,MLUSPO01,Rumah tangga,PCS,LUBY,Area 04,tidak,98594,150000,0,0,0,0,0,5,,,1,,,,,,0,0
