id,kd_brg,barcode,nama,merk,satuan,kd_supp,modal,barcode_image
567,MCAS M-13V,MMOD31,MESIN CAS M-13V ELECTRIC DRILL,MODERN,PCS,MT,332500.0,
568,MG GWS700,MBOS08,MESIN GRENDA GWS700 BOSCH,BOSCH,PCS,RKW,400044.0,
569,MT CIRCLE HS 4,MHAS23,"MATA CIRCLE 4"" HASSTON",HASSTON,PCS,CPI,29425.0,
570,MT CR 4X40T,MMOD32,MATA CIRCLE 4X40T MODERN,MODERN,PCS,SUARI,22500.0,
571,MT SRK BSCH,MBOS09,MATA SERKEL BOSCH 5/8,BOSCH,PCS,RKW,125441.11,
572,MTB CLK YZ 10,MYOZ04,MATA BOR COLOK 10 YOZURI,YOZURI,PCS,STS,14250.0,
573,MTB CLK YZ 12,MYOZ05,MATA BOR COLOK 12 YOZURI,YOZURI,PCS,STS,16200.0,
574,MTB CLK YZ 6,MYOZ06,MATA BOR COLOK 6 YOZURI,YOZURI,PCS,STS,10700.0,
575,MTB CLK YZ 8,MYOZ07,MATA BOR COLOK 8 YOZURI,YOZURI,PCS,STS,12000.0,
576,MTR 10 HA,MHAS24,ROLL METER 10 X 25 HASSTON,HASSTON,PCS,CPI,36025.0,
577,MTR 10 ISCO,MISC47,ROLL 10 METER AUTOSTOP ISCO,ISCO,LSN,STD,285000.0,
578,MTR 5 ISCO,MISC48,ROLL 5 METER AUTOSTOP ISCO,ISCO,LSN,STD,150000.0,
579,MTR AIR PVC,MMIA01,METERAN AIR PVC MIAMI,MIAMI,PCS,STD,57500.0,
580,MTR BJ 3 HS,MHIO131,ROLL METER BANG JO 3 MTR HIOSHI,HIOSHI,LSN,KBB,55062.0,
581,MTR BJ 5 HS,MHIO132,ROLL METER BANG JO 5 MTR HIOSHI,HIOSHI,LSN,KBB,74727.0,
582,MTR BJ 7.5 HS,MHIO133,"ROLL METER BANG JO 7,5 MTR HIOSHI",HIOSHI,LSN,KBB,129789.0,
583,MTR HS 3 CLS,MHIO134,ROLL 3 METER HIOSHI ECO CLASSIC,HIOSHI,LSN,KBB,82000.0,
584,MTR HS 5 CLS,MHIO135,ROLL 5 METER HIOSHI ECO CLASSIC,HIOSHI,LSN,KBB,116000.0,
585,MTR HS 7.5 CLS,MHIO136,"ROLL 7,5 METER HIOSHI ECO CLASSIC",HIOSHI,LSN,KBB,206250.0,
586,MTR JLN 100M,MHIO137,ROLL MTR FIBER 100 M (METERAN JALAN),HIOSHI,PCS,KBB,53259.37,
587,MTR JLN 30M,MTOK11,METERAN JALAN 30 MTR TOKIO,TOKIO,PCS,NAS,20000.0,
588,MTR JLN 50M,MHIO138,ROLL MTR FIBER 50 M (METERAN JALAN),HIOSHI,PCS,KBB,40000.0,
589,MTR MP 3 HS,MHIO139,ROLL METER MERAH PUTIH 3 MTR HIOSHI,HIOSHI,LSN,KBB,73625.0,
590,MTR MP 5 HS,MHIO140,ROLL METER MERAH PUTIH 5 MTR HIOSHI,HIOSHI,LSN,KBB,102125.0,
591,MTR MP 7.5 HS,MHIO141,ROLL METER MERAH PUTIH 7.5 MTR HIOSHI,HIOSHI,LSN,KBB,190000.0,
592,MTR OTM 3,MHIO142,ROLL METER OTOMAT 3 MTR HIOSHI,HIOSHI,LSN,KBB,146832.0,
593,MTR OTM 5,MHIO143,ROLL METER OTOMAT 5 MTR HIOSHI,HIOSHI,LSN,KBB,230736.0,
594,MTR OTM 7.5,MHIO144,"ROLL METER OTOMAT 7,5 MTR HIOSHI",HIOSHI,LSN,KBB,464550.0,
595,MTR TRSP 5,MAXE01,ROLL METER TRANSPARAN AXELL 5 MTR,AXELL,LSN,SU,82500.0,
596,MTR UG3 HS,MHIO145,ROLL METER UPGRADE 3 MTR HIOSHI,HIOSHI,LSN,KBB,85737.5,
597,MTR UG5 HS,MHIO146,ROLL METER UPGRADE 5 MTR HIOSHI,HIOSHI,LSN,KBB,92268.75,
598,MTR UG7.5 HS,MHIO147,"ROLL METER UPGRADE 7,5 MTR HIOSHI",HIOSHI,LSN,KBB,198550.0,
599,MTR VPR 7.5,MVPR04,"ROLL METERAN 3 STOP 7,5 MTR VPR",VPR,LSN,MSM,145000.0,
600,MTRES3,MESS02,ROLL METER ESSEN 3 MTR,ESSEN,LSN,GMM,118587.84,
601,MTRES3 EXTR,MHIO148,ROLL METER EXTREME 3M (AUTOSTOP) HIOSHI,HIOSHI,LSN,KBB,152000.0,
602,MTRES5,MESS03,ROLL METER ESSEN 5 MTR,ESSEN,LSN,GMM,210700.0,
603,MTRES5 EXTR,MHIO149,ROLL METER EXTREME 5M (AUTOSTOP) HIOSHI,HIOSHI,LSN,KBB,194750.0,
604,"MTRES7,5",MESS04,"ROLL METER ESSEN 7,5",ESSEN,LSN,GMM,367500.0,
