id,kd_brg,barcode,nama,merk,satuan,kd_supp,modal,barcode image
773,SKP HS,SKP HS,SEKOP ECO PAPAK HIOSHI,HIOSHI,LSN,KBB,506250,
774,SKR FB 3 CH,SKR FB 3 CH,"SKRAP GAGANG FIBER 3"" CHIYO",CHIYO,LSN,MSM,41000,
775,SKR GYP 1,SKR GYP 1,SKRUP GYPSUM 1' HIOSHI,HIOSHI,KG ,KBB,27500,
776,SKR GYP 1 LMB,SKR GYP 1 LMB,"SKRUP GYPSUM 6 X 1"" LUMBA2",LUMBA LUMBA,COL,IKS,630000,
777,SKR GYP 1.1/2 LMB,SKR GYP 1.1/2 LMB,"SKRUP GYPSUM 6 X 1.1/2"" LUMBA2",LUMBA LUMBA,COL,IKS,630000,
779,SKR GYP 2 LMB,SKR GYP 2 LMB,"SKRUP GYPSUM 6 X 2"" LUMBA2",LUMBA LUMBA,COL,IKS,630000,
780,SKR KRT 2,SKR KRT 2,SKRAP GG KARET 2 YOZURI,,LSN,STS,58055.449999999997,
781,SKR KRT 2 1/2,SKR KRT 2 1/2,SKRAP GG KARET 2 1/2 YOZURI,,LSN,STS,61180,
782,SKR KRT 2 CH,SKR KRT 2 CH,SKRAP GG KARET 2 CHIYO,,LSN,MSM,36000,
783,SKR KRT 2.1/2 CH,SKR KRT 2.1/2 CH,SKRAP GG KARET 2.1/2 CHIYO,CHIYO,LSN,MSM,38500,
784,SKR KRT 3,SKR KRT 3,SKRAP GG KARET 3 YOZURI,,LSN,STS,63365,
785,SKR KRT 3 CH,SKR KRT 3 CH,SKRAP GG KARET 3 CHIYO,,LSN,MSM,41000,
786,SKR KRT 4 CH,SKR KRT 4 CH,SKRAP GG KARET 4 CHIYO,,LSN,MSM,46000,
787,SKR KY 1.5,SKR KY 1.5,"SKRAP GG KAYU 1,5",,LSN,STS,20187.5,
788,SKR KY 2.5,SKR KY 2.5,"SKRAP GG KAYU 2,5",,PCS,STS,22325,
789,SKR KY 3,SKR KY 3,SKRAP GG KAYU 3,,LSN,STS,24082.5,
790,SKR PVC 5,SKR PVC 5,SKRAP PVC 5' ZELIG,ZELIG,PCS,MC,535,
791,SKR PVC 7,SKR PVC 7,SKRAP PVC 7' ZELIG,ZELIG,PCS,MC,905,
792,SKR PVC 9,SKR PVC 9,SKRAP PVC 9' ZELIG,ZELIG,PCS,MC,1410,
793,SKR SET SS,SKR SET SS,SKRAP SET S/S KOALA,KOALA,SET,GSS,18000,
794,SKRP CHW 1,SKRP CHW 1,SKRUP CHW 1,,BOX,SUARI,3650,
795,SKRP CHW 1.1/2,SKRP CHW 1.1/2,SKRUP CHW 1.1/2,,PCS,SUARI,6400,
796,SKRP CHW 1.1/4,SKRP CHW 1.1/4,SKRUP CHW 1.1/4,,PCS,SUARI,4550,
797,SKRP CHW 3/4,SKRP CHW 3/4,SKRUP CHW 3/4,,BOX,SUARI,3350,
798,SKRP CHW 5/8,SKRP CHW 5/8,SKRUP CHW 5/8,,BOX,SUARI,2700,
799,SKRP SIP 5/8,SKRP SIP 5/8,SKRUP SIP 5/8 X 5,SIP,GR ,SUARI,5350,
800,SKT BAJA,SKT BAJA,SIKAT KAWAT BAJA 6 BARIS GDO / NISHIO,GDO,LSN,GPS,39000,
801,SKT KNG 8,SKT KNG 8,SIKAT KAWAT KUNING 8',EAGLE,LSN,STS,34250,
802,SKT KNG VG,SKT KNG VG,SIKAT KUNING BENGKOK VEGAZ,VEGAZ,LSN,VJP,45100,
803,SKT MGK,SKT MGK,"SIKAT MANGKOK KN 3'"" OWNER",OWNER,PCS,STS,5080.1199999999999,
804,SKT MGK KING,SKT MGK KING,SIKAT MANGKOK KING,,PCS,HHH,4650,
805,SKTBJ KNG PVC,SKTBJ KNG PVC,SIKAT BAJA KUNING BENGKOK PLASTIK TOKIO,,LSN,NAS,50000,
806,SKTBJ PVC HTM,SKTBJ PVC HTM,SIKAT BAJA GG PLASTIK HITAM TOKIO 6 JL,,LSN,NAS,42750,
807,SKTKG 12 SS,SKTKG 12 SS,"SIKU TUKANG STAINLESS 12"" VPR JUMBO",VPR,LSN,MSM,145000,
808,SL BAK BR,SL BAK BR,SLONTONG BAK BIRU 3/4,MITSUTOYO,LSN,SU,13500,
809,SL BAK BR 1,SL BAK BR 1,"SLONTONG BAK BIRU 1""",MITSUTOYO,LSN,SU,26000,
810,SL BAK HJ,SL BAK HJ,SLONTONG BAK HIJAU 3/4,MITSUTOYO,LSN,SU,12500,
811,SL BAK PK,SL BAK PK,SLONTONG BAK PINK 3/4,MITSUTOYO,LSN,SU,13500,
812,SL BAK PK 1,SL BAK PK 1,"SLONTONG BAK PINK 1""",MITSUTOYO,LSN,SU,26000,
813,SL FLX 30,SL FLX 30,SELANG FLEXIBEL 30 CM ISCO,ISCO,PCS,STD,9000,
814,SL FLX 40,SL FLX 40,SELANG FLEXIBEL 40 CM ISCO,ISCO,PCS,STD,10000,
815,SL FLX 50,SL FLX 50,SELANG FLEXIBEL 50 CM ISCO,ISCO,PCS,STD,11000,
816,SL MSN CC 1.5,SL MSN CC 1.5,"SELANG MESIN CUCI 1,5 MTR HPP",HPP,PCS,SU,14250,
817,SL PP TBG,SL PP TBG,SELANG POMPA TABUNG TOKIO,TOKIO,PCS,NAS,4000,
818,SLG SHW FLX,SLG SHW FLX,SELANG SHOWER FLEXIBLE,,PCS,VJP,22000,
819,SLND KCB IS,SLND KCB IS,SILINDER KUNCI BESAR ISCO,ISCO,LSN,STD,225000,
820,SLND KCK IS,SLND KCK IS,SILINDER KUNCI KECIL/TGG ISCO,ISCO,LSN,STD,212500,
821,SLOTBT MDRN 3,SLOTBT MDRN 3,SLOTING BITS MODERN 3MM,HIOSHI,PCS,SUARI,18500,
822,SPRYGUN ISCO,SPRYGUN ISCO,SPRAY GUN F75G ISCO,ISCO,PCS,STD,82000,
823,SPRYGUN MTCH,SPRYGUN MTCH,SPRAY GUN F75G MAXTECH,MAXTECH,PCS,STD,82000,
824,SR10X12,SR10X12,SIKU RAK 10 X 12 GDO,GDO,LSN,GPS,62500,
825,SR10X12 NI,SR10X12 NI,SIKU RAK 10 X 12,,LSN,NIB,65000,
826,SR10X12 PTH,SR10X12 PTH,SIKU RAK PUTIH 10 X 12 GRT,GRT,LSN,SMSL,55575,
