id,kd_brg,barcode,nama,merk,satuan,kd_supp,modal,barcode image
937,BEARING 20MM TK,BEARING 20MM TK,BEARING GEROBAK PASIRTOKIO 20MM,TOKIO,PCS,NAS,3750,
938,GR KOPI BS 14 TK,GR KOPI BS 14 TK,GERGAJI KOPI GG BESI 14 TOKIO,TOKIO,PCS,NAS,35000,
939,JARUM KR 6 TK,JARUM KR 6 TK,JARUM KARUNG TOKIO 6,TOKIO,PAK,NAS,40000,
940,RDGP HDP PTH TK,RDGP HDP PTH TK,"RODA NYLON PTH HIDUP TOKIO 50MM /2""",TOKIO,SET,NAS,12500,
941,TANG LAS 300A,TANG LAS 300A,TANG LAS MDL ITALY 200-300A NICHIE,NICHIE,PCS,NAS,16500,
942,PMP SMZ PS116,PMP SMZ PS116,POMPA SHIMIZU PS116 BIT,SHIMIZU,PCS,SIM,502503,
951,BC ONDA 1/2,BC ONDA 1/2,KRAN TEMBOK BC 1/2 ONDA,ONDA,PCS,SIM,30450,
952,BL ONDA 3/4 NEW,BL ONDA 3/4 NEW,KRAN TEMBOK BL 3/4 ONDA NEW,ONDA,PCS,SIM,43500,
953,BC ONDA 3/4 NEW,BC ONDA 3/4 NEW,KRAN TEMBOK BC 3/4 ONDA NEW,ONDA,PCS,SIM,61081.25,
954,A801 T ONDA 1/2,A801 T ONDA 1/2,KRAN TEMBOK A 801 T 1/2 ONDA,ONDA,PCS,SIM,62893.75,
955,CLS 02 ONDA 1/2,CLS 02 ONDA 1/2,STOP KRAN CLS 02 ONDA 1/2,ONDA,PCS,SIM,64706.25,
956,A SUS ONDA 1/2,A SUS ONDA 1/2,"KRAN T A-SUS ONDA 1/2""",ONDA,PCS,SIM,88631.669999999998,
957,KRNBSTBK 12OND,KRNBSTBK 12OND,V-TUL FLEXI TEMBOK ONDA,ONDA,PCS,SIM,162762.75,
958,KRNSTFL TEMOND,KRNSTFL TEMOND,"V-SUS FLEXI TEMBOK 1/2"" ONDA",ONDA,PCS,SIM,206987.5,
959,STPKNV637TOND,STPKNV637TOND,"V 637 T ONDA 1/2""",ONDA,PCS,SIM,80112.5,
960,KRNBSTNM12OND,KRNBSTNM12OND,V-TUL FLEXI TANAM ONDA,ONDA,PCS,SIM,154062.5,
961,KRNSTFLTANOND,KRNSTFLTANOND,"V-SUS FLEXI TANAM 1/2"" ONDA",,PCS,,205356.25,
962,KRNSTVSU12OND,KRNSTVSU12OND,"V-SUS TANAM ONDA 1/2""",ONDA,PCS,SIM,148081.25,
963,BSTCHY321COND,BSTCHY321COND,"Y 321 C ONDA 1/2"" (R)",ONDA,PCS,SIM,151888,
964,ACSCHKTU12OND,ACSCHKTU12OND,"K-TUL ONDA 1/2""",ONDA,PCS,SIM,91168.75,
965,MXRSTK406COND,MXRSTK406COND,"K 406 CTG ONDA 1/2""",ONDA,PCS,SIM,146450,
966,MXRSTBT121OND,MXRSTBT121OND,"BATH-TUL ONDA 1/2"" (N)",ONDA,PCS,SIM,504962.5,
967,SWRCHJK036OND,SWRCHJK036OND,JET KUL WHITE ONDA,ONDA,PCS,SIM,83012.5,
968,MXRSTJF08SOND,MXRSTJF08SOND,"JF 08 ST ONDA 1/2"" (ANGLE VALVE)",ONDA,PCS,SIM,79206.25,
969,SWRCHSOTULOND,SWRCHSOTULOND,SO TUL ONDA,ONDA,PCS,SIM,131406.25,
970,SWRCHSO28OND,SWRCHSO28OND,SO KUL ONDA (BLISTER PACK),ONDA,PCS,SIM,128325,
971,ACSPVST172OND,ACSPVST172OND,"SEALTAPE ONDA 1/2"" 10M (ST01)",ONDA,PCS,SIM,3987.5,
972,VLPPVPV22OND,VLPPVPV22OND,"PVCBV ONDA 1/2""",ONDA,PCS,SIM,17943.75,
973,VLPPVPPVC26OND,VLPPVPPVC26OND,"PVCBV ONDA 3/4""",ONDA,PCS,SIM,25918.75,
974,VLPPVPVC32OND,VLPPVPVC32OND,"PVCBV ONDA 1""",ONDA,PCS,SIM,31718.75,
975,VLPPVPVC42OND,VLPPVPVC42OND,"PVCBV ONDA 1-1/4""",ONDA,PCS,SIM,47306.5,
976,VLPPVPVC48OND,VLPPVPVC48OND,"PVCBV ONDA 1-1/2""",ONDA,PCS,SIM,85006.25,
977,VLPPVPVC60OND,VLPPVPVC60OND,"PVCBV ONDA 2""",ONDA,PCS,SIM,91168.75,
978,PK SG ULIR 3,PK SG ULIR 3,"PAKU SENG ULIR 3"" ERDOS",ERDOS,DOS,MSM,147500,
979,MTR VPR 3,MTR VPR 3,ROLL METER 3 MTR  VPR,VPR,LSN,MSM,65000,
980,CH VALVE 1/2 HS,CH VALVE 1/2 HS,"CHECK VALVE (TUSEN KLEP) 1/2""",HIOSHI,PCS,KBB,0,
981,CH VALVE 3/4 HS,CH VALVE 3/4 HS,"CHECK VALVE (TUSEN KLEP) 3/4""",HIOSHI,PCS,KBB,0,
982,FOOT KL 3/4 HS,FOOT KL 3/4 HS,"FOOT KLEP PRO 3/4"" HIOSHI",HIOSHI,PCS,KBB,0,
983,BT10HSH RUNCING,BT10HSH RUNCING,BETEL TOPI 10 X 16 RUNCING HIOSHI,HIOSHI,PCS,KBB,0,
984,BV PVC 1/2 HS,BV PVC 1/2 HS,"BALL VALVE PVC HD 1/2"" HIOSHI",HIOSHI,PCS,KBB,0,
985,BV PVC 1 HS,BV PVC 1 HS,"BALL VALVE PVC HD 1"" HIOSHI",HIOSHI,PCS,KBB,0,
986,CTK KRT LCP 237 HS,CTK KRT LCP 237 HS,CETOK KARET LANCIP 2-3-7 HIOSHI,HIOSHI,LSN,KBB,0,
987,CTK KRT BLT 247 HS,CTK KRT BLT 247 HS,CETOK KARET BULAT 2-4-7 HIOSHI,HIOSHI,LSN,KBB,0,
988,CATK PP NO2 HS,CATK PP NO2 HS,CATOK PIPA PRO NO.2 (1/2-3.1/2) HS,HIOSHI,PCS,KBB,0,
989,BTAS HD8 HS,BTAS HD8 HS,BATU ASAH HD 8 ORANYE / HITAM HIOSHI,HIOSHI,PCS,KBB,0,
990,CB TIES 100 MC HS,CB TIES 100 MC HS,CABLE TIES 10 X 2.5MM MIX COLOR HIOSHI,HIOSHI,PAK,KBB,0,
991,CB TIES 150 MC HS,CB TIES 150 MC HS,CABLE TIES 15 X 2.5MM MIX COLOR HIOSHI,HIOSHI,PAK,KBB,0,
992,CB TIES 200 MC HS,CB TIES 200 MC HS,CABLE TIES 20 X 2.5MM MIX COLOR HIOSHI,HIOSHI,PAK,KBB,0,
993,CB TIES 250 MC HS,CB TIES 250 MC HS,CABLE TIES 25 X 2.5MM MIX COLOR HIOSHI,HIOSHI,PAK,KBB,0,
994,CB TIES 300 MC HS,CB TIES 300 MC HS,CABLE TIES 30 X 2.5MM MIX COLOR HIOSHI,HIOSHI,PAK,KBB,0,
995,BB EXT 4X80 HS,BB EXT 4X80 HS,BOR BETON EXTREME 4 X 80MM HIOSHI,HIOSHI,PCS,KBB,0,
996,MTR RCH 3 HS,MTR RCH 3 HS,ROLL METER RACHET 3 MTR PLAT HITAM HIOSHI,HIOSHI,LSN,KBB,0,
997,MTR RCH 5 HS,MTR RCH 5 HS,ROLL METER RACHET 5 MTR PLAT HITAM HIOSHI,HIOSHI,LSN,KBB,0,
998,MTR RCH 7.5 HS,MTR RCH 7.5 HS,ROLL METER RACHET 7.5 MTR PLAT HTM HIOSHI,HIOSHI,LSN,KBB,0,
999,GNT SENG HD8 HS,GNT SENG HD8 HS,GUNTING SENG HD 8 HIOSHI,HIOSHI,PCS,KBB,0,
1000,GNT 20CM SG HS,GNT 20CM SG HS,GUNTING KERTAS BESAR 20CM SOFT GRIP HIOSHI,HIOSHI,PCS,KBB,0,
1001,GNT DHN HD9 HS,GNT DHN HD9 HS,GUNTING DAHAN HD 9 GANTUNG HIOSHI,HIOSHI,PCS,KBB,0,
1002,KC RD PLG 16 HS,KC RD PLG 16 HS,"KUNCI RODA PALANG 16"" (PLAT PENGAMAN) HIOSHI",HIOSHI,PCS,KBB,0,
1003,GR BR HD18 HS,GR BR HD18 HS,"GERGAJI BATA RINGAN HD 18"" (GG KAYU) HIOSHI",HIOSHI,LSN,KBB,0,
1004,PL KMB KY HD80Z,PL KMB KY HD80Z,PALU KAMBING KAYU HD 80Z HIOSHI,HIOSHI,PCS,KBB,0,
1005,PL KMB KY HD120Z,PL KMB KY HD120Z,PALU KAMBING KAYU HD 120Z HIOSHI,HIOSHI,PCS,KBB,0,
1006,PL TK KY HD300G,PL TK KY HD300G,PALU TUKANG KAYU HD 300G HIOSHI,HIOSHI,PCS,KBB,0,
1007,PL PON EXT 2LB HS,PL PON EXT 2LB HS,PALU PON EXTREME (FIBER HANDLE) 1KG 2LB,HIOSHI,PCS,KBB,0,
1008,PT GR HD60 HS,PT GR HD60 HS,POTONG GRANIT HD 60CM (TITANIUM),HIOSHI,PCS,KBB,0,
1009,MT PTG HD60CM,MT PTG HD60CM,MATA POTONG HD 60CM (TITANIUM) HIOSHI,HIOSHI,PCS,KBB,0,
1010,TREK 3 KK3 HS,TREK 3 KK3 HS,TREKER 3 KAKI 3 HIOSHI,HIOSHI,PCS,KBB,0,
1011,TREK 3 KK4 HS,TREK 3 KK4 HS,TREKER 3 KAKI 4 HIOSHI,HIOSHI,PCS,KBB,0,
1012,MR KR BR HS,MR KR BR HS,MARKING KRAYON BIRU HIOSHI,HIOSHI,LSN,KBB,0,
1013,TANG BY HD10 LCP,TANG BY HD10 LCP,TANG BUAYA HD10 LAPIS KARET MATA LANCIP,HIOSHI,PCS,KBB,0,
1014,TIMB GNT 150KG,TIMB GNT 150KG,TIMBANGAN GANTUNG ECO 150KG HIJAU HIOSHI,HIOSHI,PCS,KBB,0
